award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
record label	Fear, Love & War is the third album by the hip hop group Killarmy, which was released September 11, 2001, on Loud/Relativity Records.	Fear, Love & War	Relativity Records
record label	The Genius of Ray Charles is the sixth studio album by American recording artist Ray Charles, released in 1959 by Atlantic Records.	The Genius of Ray Charles	Atlantic Records
record label	Leading Off is the debut solo album by American newgrass mandolinist Chris Thile, released on September 25, 1994 by Sugar Hill Records.	Leading Off	Sugar Hill Records
record label	Brain Salad Surgery is the fourth studio album by progressive rock band Emerson, Lake & Palmer, released in 1973 and the first under their Manticore Records imprint.	Brain Salad Surgery	Manticore Records
record label	``Throw Your Arms Around Me'' is a song by Australian rock band Hunters & Collectors first released as a single in November 1984 by White Label for Mushroom Records.	Throw Your Arms Around Me	Mushroom Records
record label	When Signify was reissued in 2003 on Delerium Records and in 2004 on Snapper Music, Insignificance was packaged as a second disc of Signify, with a slightly altered track list.	Signify	Delerium Records
record label	``I Don't Want to Take a Chance'' is a single released by Mary Wells in 1961 on the Motown label.	I Don't Want to Take a Chance	Motown
record label	Excuses for Travellers is the third album by Mojave 3, released by 4AD on 15 May 2000 in the UK and 5 September 2000 in the US.	Excuses for Travellers	4AD
record label	Cancer 4 Cure is the third full-length studio album by El-P, released on Fat Possum Records May 22, 2012.	Cancer 4 Cure	Fat Possum Records
record label	Bobbie Gentry and Glen Campbell is the tenth album by American singer-guitarist Glen Campbell, a collaborative album with Bobbie Gentry, released in 1968 by Capitol Records.	Bobbie Gentry and Glen Campbell	Capitol Records
record label	Født til å Herske (lit. ``Born to rule'') is Norwegian solo artist Mortiis's debut album, released on Malicious Records in 1993.	Født til å Herske	Mortiis
record label	No Security is a live album by The Rolling Stones released by Virgin Records in 1998.	No Security	Virgin Records
record label	Late Night Final is the second studio album (and first full-length album after the mini-album Richard Hawley released six months earlier) from musician Richard Hawley, released in the UK in October 2001 by Setanta Records.	Late Night Final	Setanta Records
record label	Summer Side of Life is Canadian singer Gordon Lightfoot's seventh original album, released in 1971 on the Reprise Records Label.	Summer Side of Life	Reprise Records
record label	Too Cold at Home is the second album released by American country music artist Mark Chesnutt, released in 1990 on MCA Records.	Too Cold at Home	MCA Records
record label	The Jeb Loy Nichols Special is a record by Jeb Loy Nichols, released in 2012 on the Decca Records label.	The Jeb Loy Nichols Special	Decca Records
record label	Fear & Freedom is the third studio album by Australian recording artist Ricki-Lee Coulter, released through EMI Music Australia on 17 August 2012.	Fear & Freedom	EMI
sex or gender	Henrik Sundström (born 29 February 1964 in Lund, Sweden) is a former professional male tennis player from Sweden.	Henrik Sundström	male
sex or gender	Meri Cetinić (born June 15, 1953) is a Croatian female pop singer, a soprano.	Meri Cetinić	female
sport	Aleksander Zniszczoł (born March 8, 1994 in Cieszyn) is a Polish ski jumper, a member of youth Polish ski jumping team, gold medalist of World Junior Championship 2014 with team.	Aleksander Zniszczoł	ski jumping
sport	Arshad Iqbal Burki (born 15 March 1984) is a Pakistani squash player.	Arshad Iqbal Burki	squash
sport	The New York Raiders were an American rugby league football team based in Congers, New York.	New York Raiders	rugby league
sport	Chen Jianghua (simplified Chinese: 陈江华; traditional Chinese: 陳江華; pinyin: Chén Jiānghuā) (born March 12, 1989), in Panyu, Shawan, Guangzhou, Guangdong, People's Republic of China) is Chinese professional basketball player.	Chen Jianghua	basketball
sport	Emma Humphries (born 14 June 1986) is a New Zealand association football player who represented her country at international level.	Emma Humphries	association football
sport	The Serbian and Montenegrin National Badminton Championships is a tournament organized to crown the best badminton players in Serbia and Montenegro.	Serbian and Montenegrin National Badminton Championships	badminton
sport	The 1995 Dubai Tennis Championships was the third edition of this men's tennis tournament and was played on outdoor hard courts.	1995 Dubai Tennis Championships	tennis
sport	Jeffrey Godfrey IV, also known as Jeff Godfrey (born January 1, 1992) is an American football quarterback and wide receiver.	Jeff Godfrey	American football
sport	The 1993 Volvo Tennis San Francisco was a tennis tournament in San Francisco, CA in the United States and was part of the World Series of the 1993 ATP Tour.	1993 Volvo Tennis San Francisco	tennis
sport	The Green Monster is a popular nickname for the 37'2`` (11.33 m) high left field wall at Fenway Park, home to the Boston Red Sox baseball team.	Green Monster	baseball
sport	Heyneke Meyer (born 6 October 1967 in Nelspruit, South Africa) is a rugby union coach, who was most recently the head coach of the South African national team.	Heyneke Meyer	rugby union
sport	Phil Veivers (born 25 May 1964 in Beaudesert, Queensland) is an Australian former rugby league footballer.	Phil Veivers	rugby league
sport	Ignacy Nowak (born 12 January 1949) is a Polish chess player who won the Polish Chess Championship in 1985.	Ignacy Nowak	chess
sport	Redipuglia is a baseball team in Serie A federale, Italy's professional baseball league.	Redipuglia	baseball
sport	Basket Lattes Montpellier Agglomération (BLMA) is a French women's basketball club from Lattes, Montpellier Agglomération.	Basket Lattes	basketball
sport	Siranush Andriasian (Armenian: Սիրանուշ Անդրիասյան, born 4 January 1986 in Ejmiatsin) is an Armenian chess player.	Siranush Andriasian	chess
sport	The Lansing Lancers were a professional ice hockey team playing in the International Hockey League.	Lansing Lancers	ice hockey
sport	Sander de Wijn (born 2 May 1990, in Boxmeer) is a Dutch field hockey player.	Sander de Wijn	field hockey
sport	USA Football is the national governing body for amateur American football in the United States.	USA Football	American football
sport	The Cleveland Browns are a professional American football team based in Cleveland, Ohio.	Cleveland Browns	American football
sport	Malika Kanthong (Thai: มลิกา กันทอง, born January 8, 1987) is a member of the Thailand women's national volleyball team.	Malika Kanthong	volleyball
sport	The Estonia national football team (Estonian: Eesti jalgpallikoondis) represents Estonia in international association football.	Estonia national football team	association football
sport	Badalona Dracs (Catalan pronunciation: (bəðəˈɫonə ˈðɾaks), ``Badalona Dragons'') is an American football team based in Badalona, Catalonia.	Badalona Dracs	American football
sport	Demetrios Petrokokkinos (Greek: Δημήτριος Πετροκόκκινος, 17 April 1878 -- 10 February 1942) was a Greek tennis player.	Demetrios Petrokokkinos	tennis
sport	The 2004 FIS Ski Jumping Grand Prix was the 11th Summer Grand Prix season in ski jumping on plastic.	2004 FIS Ski Jumping Grand Prix	ski jumping
sport	The Sarnia Sting are a junior ice hockey team based in Sarnia, Ontario, Canada.	Sarnia Sting	ice hockey
sport	Massimo Cuttitta (born in Latina, 2 September 1966) is a former Italian rugby union footballer and a current coach.	Massimo Cuttitta	rugby union
sport	The Cauberg Cyclo-cross is a cyclo-cross race held in Valkenburg, Netherlands.	Cauberg Cyclo-cross	cyclo-cross
sport	Javier Méndez González (born April 22, 1964) is a Cuban baseball player and Olympic silver medalist.	Javier Méndez	baseball
sport	The Alabama Hawks were a professional American football team based in Huntsville, Alabama.	Alabama Hawks	American football
sport	Manchester Rugby Club, founded as Manchester Football Club, was one of the first rugby union clubs in the world, having been founded in 1860, eleven years before the Rugby Football Union.	Manchester Rugby Club	rugby union
sport	The 2009 Malaysia Super Series, not to be confused with the 2009 Malaysia Open Grand Prix Gold, was a badminton tournament held from January 6 to January 11, 2009 in Putra Indoor Stadium, Malaysia.	2009 Malaysia Super Series	badminton
sport	The Bahawalpur Stags (Urdu: بهاولپور سٹاگس‎) are a Pakistani men's professional Twenty20 cricket team that competes in the Haier T20 League and based in Bahawalpur, Punjab, Pakistan.	Bahawalpur Stags	cricket
sport	Dai-Kang Yang (Chinese: 陽岱鋼; pinyin: Yáng Dàigāng;born January 17, 1987; previously known as Yang Chung-shou or Chung-Shou Yang 陽仲壽) is a Taiwanese professional baseball player.	Dai-Kang Yang	baseball
sport	Viktor Efremovski (born October 21, 1998) is a Macedonian professional basketball Small forward who currently plays for Rabotnički in the Macedonian First League.	Viktor Efremovski	basketball
sport	Vern Fleming (born February 4, 1962) is an American former professional basketball player who played twelve seasons in the NBA from 1984 until 1996.	Vern Fleming	basketball
sport	The K League Classic is one of South Korea's professional association football leagues.	K League Classic	association football
sport	The South Bend Blue Sox was a women's professional baseball team who played from 1943 through 1954 in the All-American Girls Professional Baseball League.	South Bend Blue Sox	baseball
sport	The 1994 Marseille Open was an ATP tennis tournament played on indoor carpet and held in Marseille, France from 31 January through 6 February 1994.	1994 Marseille Open	tennis
sport	Martin Bédard (born March 23, 1984 in Laval, Quebec) is a professional Canadian football fullback for the Montreal Alouettes of the Canadian Football League.	Martin Bédard	Canadian football
sport	The Queensland Cup is the top level of rugby league football in Queensland, Australia.	Queensland Cup	rugby league
sport	The New York Liberty are a professional basketball team based in New York City, New York, playing in the Eastern Conference in the Women's National Basketball Association (WNBA).	New York Liberty	basketball
sport	Maodo Lô (born March 12, 1992) is a German basketball player, who currently plays for Columbia.	Maodo Lô	basketball
sport	Montedio Yamagata is a professional association football club based in Yamagata Prefecture in Japan.	Montedio Yamagata	association football
sport	Ivan Ljubičić (Croatian pronunciation: (ǐv̞an ʎûbitʃitɕ); 19 March 1979) is a retired Croatian tennis player.	Ivan Ljubičić	tennis
sport	Ohsweken Demons are a Canadian professional indoor lacrosse team that play in the Canadian Lacrosse League.	Ohsweken Demons	lacrosse
sport	The Pittsburgh Harlequins are an American rugby union founded in 1973.	Pittsburgh Harlequins	rugby union
sport	Rugby Club CERN - Meyrin - St Genis (RC CMSG) are a semi-professional Swiss rugby union club situated on the French--	Rugby Club CERN	rugby union
sport	The Women's Korean Basketball League (WKBL) is the premier women's basketball league in South Korea.	Women's Korean Basketball League	basketball
sport	Phil Spence (born March 13, 1954 in Raleigh, North Carolina) is a retired American basketball player and coach.	Phil Spence	basketball
sport	The Sale Football Club, nicknamed the Magpies, is an Australian rules football club from Sale, Victoria which compete in the Gippsland Football League (GFL).	Sale Football Club	Australian rules football
sport	The Erris Rams were an American football team based in Erris, and latterly Castlebar, Ireland.	Erris Rams	American football
sport	Marija Režan (born Vrsaljko, on 8 August 1989 in Zadar, SFR Yugoslavia) is a Croatian basketball player.	Marija Režan	basketball
sport	Angel Goodrich (born February 24, 1990) is an American professional basketball player, who currently plays for the Seattle Storm in the WNBA.	Angel Goodrich	basketball
sport	Conor Murray (born 20 April 1989 in Limerick, Ireland) is an Irish rugby union player who plays for Munster in the Pro12 and European Rugby Champions Cup.	Conor Murray	rugby union
sport	The ATP Challenger Tour, known until the end of 2008 as the ATP Challenger Series, is a series of international men's professional tennis tournaments.	ATP Challenger Tour	tennis
sport	VRA Cricket Ground is a cricket ground in Amstelveen, the Netherlands, the home of VRA Amsterdam since 1939.	VRA Cricket Ground	cricket
sport	Mohammed V Trophy (French: Coupe Mohammed V) was an international association football friendly competition held in the city of Casablanca, Morocco.	Mohammed V Trophy	association football
sport	Rodolfo Gnavi (born 17 September 1949 in Argentina) is a former footballer who played one match for the Australia national association football team.	Rodolfo Gnavi	association football
sport	The Men's Junior European Volleyball Championship is a sport competition for national teams with players under 21 years, currently held biannually and organized by the European Volleyball Confederation, the volleyball federation from Europe.	Men's Junior European Volleyball Championship	volleyball
sport	The 2015 FC Tobol season is the 17th successive season that the club playing in the Kazakhstan Premier League, the highest tier of association football in Kazakhstan.	2015 FC Tobol season	association football
sport	Ski boots are footwear used in skiing to provide a way to attach the skier to skis using ski bindings.	Ski boot	skiing
sport	RK Vardar (HC Vardar) (Macedonian: РК Вардар) is a handball club from Skopje, Republic of Macedonia.	RK Vardar	handball
sport	The 1977 European Super Cup was an association football match played over two-legs between German team Hamburg and English team Liverpool.	1977 European Super Cup	association football
sport	The Zagłębie Steelers are an American football team in Będzin, Zagłębie Dąbrowskie, Poland.	Zagłębie Steelers	American football
sport	The Chilliwack Bruins were a major junior ice hockey team in the Western Hockey League (WHL) based out of Chilliwack, British Columbia.	Chilliwack Bruins	ice hockey
sport	Patricia Ward Hales (27 February 1929 -- 22 June 1985) was a tennis player from the United Kingdom who reached the singles final of the 1955 U.S. Championships, losing to Doris Hart 6--4, 6--2.	Patricia Ward Hales	tennis
sport	The 2010 AFC President's Cup was the sixth edition of the AFC President's Cup, an annual international association football competition between domestic clubs sides run by the Asian Football Confederation (AFC).	2010 AFC President's Cup	association football
sport	Moses Blass (born March 24, 1937), also known as Moysés Blás, is a Brazilian former basketball player.	Moses Blass	basketball
sport	Junior Malili Muliaina (born 31 July 1980), better known as Mils Muliaina, is a professional rugby union player.	Mils Muliaina	rugby union
sport	Matteo Pratichetti (born 27 July 1985 in Rome) is an Italian rugby union player.	Matteo Pratichetti	rugby union
sport	Kendrys Morales Rodriguez (born June 20, 1983) is a Cuban professional baseball designated hitter for the Kansas City Royals of Major League Baseball (MLB).	Kendrys Morales	baseball
sport	Osiris Eldridge (born June 18, 1988) is an American professional basketball player and former member of Illinois State's men's basketball team.	Osiris Eldridge	basketball
sport	Pro Evolution Soccer 2009 is the second Wii entry of the association football video game Pro Evolution Soccer series by Konami.	Pro Evolution Soccer 2009	association football
sport	Corné van Kessel (born 7 August 1991 in Veldhoven) is a professional cyclo-cross cyclist from the Netherlands.	Corné van Kessel	cyclo-cross
sport	The 2005 Sunfeast Open was the first edition of the WTA tennis tournament Sunfeast Open held in Kolkata, West Bengal, India for women's professional tennis from 19--25 September 2005.	2005 Sunfeast Open	tennis
sport	Tuomas Ketola (born 21 February 1975) is a Finnish former professional tennis player on the ATP Tour.	Tuomas Ketola	tennis
sport	Damien Blanch is an Australian-born Irish international rugby league footballer.	Damien Blanch	rugby league
sport	Saint-Raphaël Var Handball, is a team handball club from Saint-Raphaël, Var, France, that plays in the LNH Division 1.	Saint-Raphaël Var Handball	handball
sport	Leslie Michael Jasper (born October 8, 1986) is an American football offensive guard and defensive tackle who is currently a free agent.	Michael Jasper	American football
sport	The UCI Cyclo-cross World Championships (for Women), to use the official name, is the recognized world championship for cyclo-cross and has been organized annually since 2000 by the Union Cycliste Internationale, the sport's international governing body.	UCI Cyclo-cross World Championships	cyclo-cross
sport	The NWL Midget Championship was the midget professional wrestling title in the National Wrestling League promotion.	NWL Midget Championship	professional wrestling
sport	Heini Adams (born 29 May 1980 in Worcester, South Africa) is a professional rugby union player.	Heini Adams	rugby union
sport	The Kamloops Blazers are a major junior ice hockey team currently members of the B.C. Division of the Western Conference in the Western Hockey League (WHL).	Kamloops Blazers	ice hockey
sport	The 2010 Champions League Twenty20 was the second edition of the Champions League Twenty20, an international Twenty20 cricket tournament.	2010 Champions League Twenty20	cricket
sport	Damian de Allende is a South African rugby union player of mixed-race descent, currently playing with the Stormers and Japanese Top League side Kintetsu Liners.	Damian de Allende	rugby union
sport	The 2015 World Rugby Nations Cup was the tenth edition of the international rugby union tournament, a competition created by the World Rugby.	2015 World Rugby Nations Cup	rugby union
sport	Jiangsu Dragons Kentier (江苏龙肯帝亚) or Jiangsu Dragons or Jiangsu Kentier or formerly known as Jiangsu Daye and Jiangsu Nanjing Steel are a professional basketball team in the South Division of the Chinese Basketball Association, based in Nanjing, Jiangsu.	Jiangsu Dragons	basketball
sport	Elizabeth Minter is a former Australian professional tennis player.	Elizabeth Minter	tennis
sport	Helmut Kosmehl (born 27 September 1944 in Magdeburg) is a German professional handball and football player and football manager.	Helmut Kosmehl	handball
sport	Omar Quintanilla (born October 24, 1981) is an American professional baseball infielder for the Toros de Tijuana of the Mexican Baseball League (MBL).	Omar Quintanilla	baseball
sport	The Uli Hoeneß Cup was a pre-season association football match that took place on 24 July 2013 at the Allianz Arena in Munich, Germany.	Uli Hoeneß Cup	association football
sport	The Tour Championship (known as The Tour Championship by Coca-Cola for sponsorship reasons) is a golf tournament that is part of the PGA Tour.	Tour Championship	golf
sport	The Chinese Athletic Association (CAA) (中国田径协会) is the national governing body for the sport of athletics in the People's Republic of China.	Chinese Athletic Association	sport of athletics
sport	Nikola Kovačević (Serbian Cyrillic: Никола Ковачевић) (born 14 February 1983) is a Serbian volleyball player, a member of Serbia men's national volleyball team, bronze medalist of the World Championship 2010, European Champion 2011, bronze medalits of the European Championship in 2007, 2013, multimedalist of the World League.	Nikola Kovačević	volleyball
sport	Alain Lorieux (born March 26, 1956 in La Tronche) is a retired French international rugby union player.	Alain Lorieux	rugby union
sport	Sir William Basil Goulding (4 November 1909 -- 16 January 1982) was an Irish cricketer, squash player, art collector and prominent businessman.	Basil Goulding	squash
sport	Sergei Topol is a Russian ice hockey player.	Sergei Topol	ice hockey
sport	Akapusi Qera (born 24 April 1984) is a Fijian professional rugby union player for Montpellier in the French Top 14.	Akapusi Qera	rugby union
sport	Andy Ram (Hebrew: אנדי רם‎; born April 10, 1980) is a retired Israeli professional tennis player.	Andy Ram	tennis
sport	Ramón Mañón Reyes (born January 21, 1968 in Santo Domingo, Dominican Republic) is a former professional baseball pitcher.	Ramón Mañón	baseball
sport	The Circuit de Barcelona-Catalunya (Catalan pronunciation: (sirˈkujd də kətəˈɫuɲə)) is a motorsport race track in Montmeló, Barcelona, Catalonia, Spain.	Circuit de Barcelona-Catalunya	motorsport
sport	Vincent Masingue, born 31 January 1976 in Saint-Martin-d'Hères, Isère, is a French basketball player, who plays at N°5 (2.05 m).	Vincent Masingue	basketball
sport	Nemanja Nedović (pronounced (němaɲa nêːdoʋitɕ); Serbian: Немања Недовић; born 16 June 1991) is a Serbian professional basketball player who plays for Unicaja of the Liga ACB.	Nemanja Nedović	basketball
sport	Nathan LaFayette (born February 17, 1973) is a former ice hockey player in the NHL.	Nathan LaFayette	ice hockey
sport	Mihalj Keri (Serbian Cyrillic: Mиxaљ Kepи; born 15 January 1951) is a retired Yugoslav association football player who professionally played in Yugoslavia and the United States.	Mihalj Keri	association football
sport	Richie Brockel (born July 24, 1986 in Phoenix) is an American football fullback who is currently a free agent.	Richie Brockel	American football
sport	The FIFA U-17 World Cup, founded as the FIFA U-16 World Championship, later changed to the FIFA U-17 World Championship and known by its current name since 2007, is the world championship of association football for male players under the age of 17 organized by Fédération Internationale de Football Association (FIFA).	FIFA U-17 World Cup	association football
sport	Ricardo Ycaza (born 16 February 1958 in Guayaquil) is an Ecuadorean tennis player who was a world top 10 junior, a Davis Cup stalwart, and a world top 100 touring professional.	Ricardo Ycaza	tennis
sport	Cathy Warwick (née Forbes) (born 6 February 1968) is an English chess player and writer.	Cathy Warwick	chess
sport	Ystads IF is a handball team from Ystad, Sweden.	Ystads IF	handball
sport	The San Jose Stealth were a member of the National Lacrosse League, the professional box lacrosse league of North America from 2004 until 2009.	San Jose Stealth	lacrosse
sport	Grégor Beugnot (born October 7, 1957 in Cliron, France) is a former French professional basketball player and a current professional basketball coach.	Grégor Beugnot	basketball
sport	Frederick Brock (born 1901 in Huddersfield) was a professional association football, who played for Huddersfield Town.	Frederick Brock	association football
sport	Passer rating (also known as quarterback rating, QB rating, or passing efficiency in college football) is a measure of the performance of passers, primarily quarterbacks, in American football and Canadian football.	Passer rating	American football
sport	Evgeny Isakov, sometimes shown as Evgeni Isakov, (born October 13, 1984) is a Russian professional ice hockey forward who played for Severstal Cherepovets of the RSL from 2002--04.	Evgeny Isakov	ice hockey
sport	Zeb Taia (born 11 October 1984) is an Australian-born New Zealand professional rugby league footballer who currently plays for the Gold Coast Titans in the National Rugby League.	Zeb Taia	rugby league
sport	Kannard Johnson (born June 24, 1965, in Cincinnati, Ohio) is an American retired professional basketball player.	Kannard Johnson	basketball
sport	Scott Dureau (born 29 July 1986 in Taree, New South Wales) is a retired Australian professional rugby league footballer.	Scott Dureau	rugby league
sport	Atsunori Inaba (稲葉 篤紀, born August 3, 1972 in Kitanagoya, Aichi, Japan) is a Japanese professional baseball player for the Hokkaido Nippon-Ham Fighters in Japan's Nippon Professional Baseball.	Atsunori Inaba	baseball
sport	Madden NFL 2001 is an American football video game.	Madden NFL 2001	American football
sport	Robert Michael Howfield (born 3 December 1936), commonly known as Bobby Howfield, is an English former professional sportsman who played both association football and American football.	Bobby Howfield	association football
sport	The Ice Hockey Federation of Russia (Russian: Федерация хоккея России) is the governing body overseeing ice hockey in Russia.	Ice Hockey Federation of Russia	ice hockey
sport	Josh Byrnes is an American baseball executive who served as the General Manager of the Arizona Diamondbacks (2005--10) and the San Diego Padres (2011--14).	Josh Byrnes	baseball
sport	Ralph Betza (born 1945) is a FIDE Master and inventor of chess variants such as Chess with different armies, Avalanche chess, and Way of the Knight.	Ralph Betza	chess
sport	Kiril Popov (Bulgarian: Кирил Попов) (born 15 March 1985) is a Bulgarian table tennis player and coach.	Kiril Popov	table tennis
sport	The McDonald's Championship (sometimes called the McDonald's Open) was an international men's professional basketball cup competition that featured a representative of the National Basketball Association against champion club teams from Europe, Australia, and South America.	McDonald's Championship	basketball
sport	Takahito Suzuki (鈴木 貴人), born August 17, 1975, is a Japanese professional ice hockey Right Winger currently playing for the Nikkō Ice Bucks of the Asia League.	Takahito Suzuki	ice hockey
sport	Darius Lukminas (born February 9, 1968 in Kaunas, Lithuanian SSR, Soviet Union) is a Lithuanian former basketball player for the Lithuanian national basketball team and Žalgiris Kaunas.	Darius Lukminas	basketball
sport	Woolston Rovers are a rugby league team based in Warrington.	Woolston Rovers	rugby league
sport	The Estádio Algarve is an association football stadium located between Faro and Loulé, in Portugal and the former home of Farense and Louletano, having received some Olhanense and Portimonense matches during their respective stadiums' works of renovation.	Estádio Algarve	association football
sport	Gábor Császár (born 16 June 1984) is a Hungarian handball player, currently playing for Kadetten Schaffhausen and the Hungarian national team.	Gábor Császár	handball
sport	Judy Devlin (later Judy Hashman) (born 22 October 1935 in Winnipeg, Manitoba) is a former badminton player who won more major international titles than any other player of her era.	Judy Devlin	badminton
sport	Virgil Wagner is a former award-winning, all-star and Grey Cup champion Canadian football halfback for the Montreal Alouettes.	Virgil Wagner	Canadian football
sport	Fernanda Ferreira, known as Fernandinha (born January 10 of 1980) is a Brazilian professional volleyball player.	Fernanda Ferreira	volleyball
sport	Jantel Lavender (born November 12, 1988) is a professional basketball player who plays for the Fenerbahçe Istanbul.	Jantel Lavender	basketball
sport	The Arab Cup of Ice Hockey was intended to be an annual international ice hockey competition involving teams from Arab nations.	Arab Cup of Ice Hockey	ice hockey
sport	Eurobasket.com is a basketball-centered website that aims to provide coverage of all the professional and semi-professional leagues around the world.	Eurobasket.com	basketball
sport	The Detroit Hettche were a minor league professional ice hockey team based in Detroit, Michigan, and played at the Detroit Olympia.	Detroit Hettche	ice hockey
sport	The Smash Championship was a professional wrestling championship, owned and promoted by the Japanese Smash promotion.	Smash Championship	professional wrestling
sport	Yongin City FC (Korean: 용인시청 축구단) is a South Korean association football club based in Yongin, Gyeonggi.	Yongin City FC	association football
sport	Kęstutis Marčiulionis (born April 4, 1977 in Kaunas, Lithuanian SSR, Soviet Union) is a Lithuanian basketball player.	Kęstutis Marčiulionis	basketball
sport	Barcelona Universitari Club is a Spanish rugby team based in Barcelona.	Barcelona Universitari Club	rugby
sport	Satoru Furuta (古田悟, born 3 August 1971) is a Japanese former basketball player.	Satoru Furuta	basketball
sport	Falu BS, is a bandy club from Falun in Sweden.	Falu BS	bandy
sport	The Women's EHF Challenge Cup is an annual team handball competition for women's clubs of Europe.	Women's EHF Challenge Cup	handball
sport	Nikola Lončar (Cyrillic: Никола Лончар; born May 31, 1972) is a retired Serbian basketball player.	Nikola Lončar	basketball
sport	San Marino Baseball Club is a professional baseball team based in the city of San Marino, in the Republic of San Marino.	San Marino Baseball Club	baseball
sport	The 1998 Guardian Direct Cup was a men's tennis tournament played on indoor carpet courts in London, Great Britain, that was part of the International Series Gold of the 1998 ATP Tour.	1998 Guardian Direct Cup	tennis
sport	The 2014 Tour of Hainan is the 9th edition of an annual professional road bicycle racing stage race held in China.	2014 Tour of Hainan	road bicycle racing
sport	The 2008 ICC Americas Championship Division One was a cricket tournament in the United States, taking place between 25 November and 30 November 2010.	2008 ICC Americas Championship Division One	cricket
sport	Gene Miles (born 21 July 1959 in Townsville, Queensland) is a retired Australian rugby league footballer of the 1980s and 90s.	Gene Miles	rugby league
sport	The Japan or All-Japan Figure Skating Championships (Japanese: 全日本フィギュアスケート選手権) are a figure skating national championship held annually to determine the national champions of Japan.	Japan Figure Skating Championships	figure skating
sport	Richard Schuil (born May 2, 1973) is a beach volleyball player from the Netherlands.	Richard Schuil	beach volleyball
sport	The African Handball Confederation, (acronym CAHB) referring to a (French: Confédération Africaine de Handball), is the administrative and controlling body for African team handball.	African Handball Confederation	handball
sport	Klaus Perwas (born 8 March 1971) is a German former basketball player and current assistant coach of the German professional club Frankfurt Skyliners.	Klaus Perwas	basketball
sport	Bronson Harrison (born 10 October 1985) is a New Zealand retired professional rugby league footballer.	Bronson Harrison	rugby league
sport	The 2009 ICC World Twenty20 was an international Twenty20 cricket tournament which took place in England in June 2009.	2009 ICC World Twenty20	cricket
sport	Cocodrilos de Caracas is a Venezuelan professional basketball club.	Cocodrilos de Caracas	basketball
sport	Michel Miklík (Slovak pronunciation: (ˈmiʃel ˈmikliːk); born July 31, 1982) is a Slovak ice hockey player who is currently playing for HC Slovan Bratislava in the Kontinental Hockey League.	Michel Miklík	ice hockey
sport	The 1899 Cleveland Spiders season took place in American baseball.	1899 Cleveland Spiders season	baseball
sport	The RC Leipzig is a German rugby union club from Leipzig, currently playing in the Rugby-Bundesliga, the top tier of German rugby.	RC Leipzig	rugby union
sport	Francisco de la Rosa Jiménez (March 3, 1966 -- January 6, 2011) was a professional baseball pitcher.	Francisco de la Rosa	baseball
sport	Larsen's Opening (also called the Queen's Fianchetto Opening) is a chess opening starting with the move: 1.	Larsen's Opening	chess
sport	The WWC Television Championship is a professional wrestling championship that is currently defended in the World Wrestling Council.	WWC Television Championship	professional wrestling
sport	The 2011 Farmers Classic, presented by Mercedes-Benz, was a tennis tournament played on outdoor hard courts in Los Angeles.	2011 Farmers Classic	tennis
sport	Eduardo Flaquer (4 November 1896 -- 18 August 1951) was a Spanish tennis player who represented Spain in the Davis Cup and Olympic Games.	Eduardo Flaquer	tennis
sport	The EuroHockey Nations Championship is an international men's and women's field hockey competition organised by the European Hockey Federation (EHF) for the top eight European national teams.	EuroHockey Nations Championship	field hockey
sport	The NCAA Men's National Collegiate Volleyball Championship was, before 2012, the only tournament that determined the NCAA championship of American college men's volleyball.	NCAA Men's National Collegiate Volleyball Championship	volleyball
sport	Eric Fry (born September 14, 1987 in Davis, CA) is an American rugby union player who plays prop.	Eric Fry	rugby union
sport	Adam Cieślar (born 18 December 1992) is a Polish Nordic combined skier.	Adam Cieślar	Nordic combined
sport	Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.	Super Bowl 50	American football
sport	Carson McMillan (born September 10, 1988) is a Canadian professional ice hockey player for the Idaho Steelheads of the ECHL.	Carson McMillan	ice hockey
sport	The Symetra Tour, previously known as the LPGA Futures Tour and known for sponsorship reasons between 2006 and 2010 as the Duramed FUTURES Tour, is the official developmental golf tour of the LPGA Tour.	Symetra Tour	golf
sport	Sean Rudder (born 13 February 1979) is an Australian former professional rugby league footballer of the 1990s and 2000s.	Sean Rudder	rugby league
sport	The 1999 Dubai Tennis Championships was a tennis tournaments played on outdoor hard courts at the Aviation Club Tennis Centre in Dubai in the United Arab Emirates that were part of the World Series of the 1999 ATP Tour.	1999 Dubai Tennis Championships	tennis
sport	Chun Joo-weon (born 15 November 1972) is a South Korean women's basketball coach and former player.	Chun Joo-weon	basketball
sport	Maneepong Jongjit (Thai: มณีพงศ์ จงจิตร, rtgs: Maniphong Chongchit; born 21 March 1991 in Phuket) is a badminton player from Thailand.	Maneepong Jongjit	badminton
sport	Open GDF Suez, formerly Open Gaz de France, was a Premier level tennis tournament on the WTA Tour held in Paris, France.	Open GDF Suez	tennis
sport	Listowel Racecourse is a horse racing venue in the town of Listowel, County Kerry, Ireland which stages both National Hunt and Flat racing.	Listowel Racecourse	horse racing
sport	The Rugby League International Federation (RLIF) currently oversees and awards the major international sporting award for rugby league on an annual basis and has done so since its inception in 2004.	Rugby League International Federation	rugby league
sport	Marie Sebag (born October 15, 1986 in Paris, France) is a French chess player, who won the French Chess Championship for women in 2000 and 2002.	Marie Sebag	chess
